Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,,
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,
8/15/2018 12:00,4.45,34.39,59.26,21.54,9.19,,
8/15/2018 12:00,4.5,32.22,56.83,22.61,9.85,,
8/15/2018 12:00,4.55,24.43,48.87,19.28,8.68,,
8/15/2018 12:00,4.6,6.16,34.85,12.55,4.57,,
8/15/2018 12:00,4.65,-3.65,15.24,7.19,2.33,,
8/15/2018 12:00,4.7,-9.57,-5.89,2.89,1.15,,
8/15/2018 12:00,4.75,-10.67,-12.27,-3.74,0.09,,
8/15/2018 12:00,4.8,-11.5,-16.08,-15.72,7.82,,
8/15/2018 12:00,4.85,-11.4,-17.51,-11.67,1.96,,
8/15/2018 12:00,4.9,-12.51,-17.46,-20.39,-1.97,,
8/15/2018 12:00,4.95,-11.93,-17.35,-20.89,-2.06,,
8/15/2018 12:00,5,-12.42,-17.44,-20.73,-2.16,,
8/15/2018 12:00,5.05,-12.16,-17.32,-20.45,-1.86,,
8/15/2018 12:00,5.1,-12.39,-17.25,-20.24,-1.74,,
8/15/2018 12:00,5.15,-12.45,-17.11,-20.16,-1.73,,
8/15/2018 12:00,5.2,-12.43,-17.11,-20.2,-1.75,,
8/15/2018 12:00,5.25,-12.6,-17.11,-20.13,-1.88,,
8/15/2018 12:00,5.3,-12.73,-17.04,-20.11,-1.96,,
8/15/2018 12:00,5.35,-12.66,-17.1,-20.02,-1.91,,
8/15/2018 12:00,5.4,-12.45,-16.76,-19.83,-1.62,,
8/15/2018 12:00,5.45,-12.54,-15.03,-19.92,-1.89,,
8/15/2018 12:00,5.5,-12.54,-15.22,-19.93,-1.81,,
8/15/2018 12:00,5.55,-10.54,-13.89,-19.47,-2.08,,
8/15/2018 12:00,5.6,-8.51,-12.94,-19.36,-2.05,,
8/15/2018 12:00,5.65,-6.76,-12.59,-19.24,-2.03,,
8/15/2018 12:00,5.7,-5.32,-11.58,-19.13,-2.09,,
8/15/2018 12:00,5.75,-3.38,-11.69,-19.04,-2.26,,
8/15/2018 12:00,5.8,-0.63,-12.04,-18.71,-2.54,,
8/15/2018 12:00,5.85,1.51,-12.12,-18.28,-2.86,,
8/15/2018 12:00,5.9,2.98,-11.44,-17.96,-3.01,,
8/15/2018 12:00,5.95,-0.27,-12.43,-2.89,0.4,,
8/15/2018 12:00,6,-2.07,-11.6,-6.87,4.59,,
8/15/2018 12:00,6.05,4.92,-6.37,-8.98,-0.15,,
8/15/2018 12:00,6.1,2.15,-7.8,0.41,8.7,,
8/15/2018 12:00,6.15,6.64,-1.79,-0.93,10.67,,
8/15/2018 12:00,6.2,9.57,2.69,-1.86,12.65,,
8/15/2018 12:00,6.25,9.66,6.33,3.09,20.64,,
8/15/2018 12:00,6.3,13.99,12.03,1.59,26.21,,
8/15/2018 12:00,6.35,18.34,17.12,0.77,31.68,,
8/15/2018 12:00,6.4,22.27,20.34,3.74,35.1,,
8/15/2018 12:00,6.45,27.4,25.58,5.57,36.9,,
8/15/2018 12:00,6.5,29.95,28.26,6.27,38.4,,
8/15/2018 12:00,6.55,33.41,29,9.52,39.3,,
8/15/2018 12:00,6.6,36.14,26.31,16.19,37.05,,
8/15/2018 12:00,6.65,32.72,21.71,17.42,35.15,,
8/15/2018 12:00,6.7,24.36,10.63,11.58,29.08,,
8/15/2018 12:00,6.75,13.56,-0.47,3,20.21,,
8/15/2018 12:00,6.8,5.06,-9.67,-1.69,14.66,,
8/15/2018 12:00,6.85,-2.85,-14.58,-6.03,11.43,,
8/15/2018 12:00,6.9,-9.45,-15.8,-10.64,8.33,,
8/15/2018 12:00,6.95,-11.3,-16.71,-13.89,4.15,,
8/15/2018 12:00,7,-11.6,-16.83,-14.82,1.95,,
8/15/2018 12:00,7.05,-11.62,-16.96,-15.52,0.14,,
8/15/2018 12:00,7.1,-11.68,-16.76,-16.85,0.71,,
8/15/2018 12:00,7.15,-11.52,-17.11,-17.59,8.16,,
8/15/2018 12:00,7.2,-10.31,-16.9,-18.9,6.13,,
8/15/2018 12:00,7.25,-11.61,-17.27,-19.18,-2.55,,
8/15/2018 12:00,7.3,-12.22,-17.11,-20.55,-1.52,,
8/15/2018 12:00,7.35,-12.05,-17.11,-20.13,-2.14,,
8/15/2018 12:00,7.4,-12.21,-16.91,-20.2,-2.05,,
8/15/2018 12:00,7.45,-12.33,-16.83,-20.24,-2.03,,
8/15/2018 12:00,7.5,-12.56,-16.76,-20.05,-2.1,,
8/15/2018 12:00,7.55,-12.67,-16.7,-20.06,-2.11,,
8/15/2018 12:00,7.6,-12.23,-10.46,-20.2,-4.43,,
8/15/2018 12:00,7.65,-12.35,-16.46,-20.1,-1.69,,
8/15/2018 12:00,7.7,-12.68,-16.51,-20.39,-2.1,,
8/15/2018 12:00,7.75,-12.45,-16.36,-20.18,-2.1,,
8/15/2018 12:00,7.8,-12.28,-15.11,-20.05,-1.79,,
8/15/2018 12:00,7.85,-12.05,-13.65,-20.19,-1.72,,
8/15/2018 12:00,7.9,-9.81,-13.82,-19.74,-1.91,,
8/15/2018 12:00,7.95,-8.67,-12.27,-19.55,-2.12,,
8/15/2018 12:00,8,-6.27,-11.55,-19.38,-2.16,,
8/15/2018 12:00,8.05,-3.44,-10.29,-19.18,-2.23,,
8/15/2018 12:00,8.1,-1.62,-9.42,-18.87,-2.34,,
8/15/2018 12:00,8.15,-0.65,-9.1,-18.74,-2.58,,
8/15/2018 12:00,8.2,-9.38,-7.57,0.09,0.2,,
8/15/2018 12:00,8.25,-0.23,-2.83,-14.93,-1.52,,
8/15/2018 12:00,8.3,-0.72,-3.27,0.32,-0.14,,
8/15/2018 12:00,8.35,-4.81,5.19,-0.25,11.77,,
8/15/2018 12:00,8.4,0.06,13.05,-2.24,15.2,,
8/15/2018 12:00,8.45,4.67,20.85,0.23,24.83,,
8/15/2018 12:00,8.5,13.27,31.42,5.78,33.9,,
8/15/2018 12:00,8.55,22.51,41.44,10.18,41.26,,
