Run #1,Run #1,Run #1,Run #1,Run #1,Run #1
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
9/17/2018 12:10,4.55,-3.86,-11.69,-10.1,-0.85
9/17/2018 12:10,4.6,-3.92,-11.77,-10.19,-0.86
9/17/2018 12:10,4.65,-3.91,-11.71,-10.14,-0.86
9/17/2018 12:10,4.7,-3.71,-11.68,-10.24,-0.9
9/17/2018 12:10,4.75,-3.81,-11.76,-10.23,-1.07
9/17/2018 12:10,4.8,-3.96,-11.63,-10.09,-1.25
9/17/2018 12:10,4.85,-3.8,-11.57,-9.86,-0.96
9/17/2018 12:10,4.9,-3.89,-11.53,-9.86,-0.96
9/17/2018 12:10,4.95,-4.12,-11.48,-10.1,-0.91
9/17/2018 12:10,5,-4.3,-11.9,-10.11,-1.32
9/17/2018 12:10,5.05,-4.28,-10.84,-9.74,-0.53
9/17/2018 12:10,5.1,-4.36,-11.08,-9.62,-0.71
9/17/2018 12:10,5.15,-4.48,-11.52,-9.53,-0.67
9/17/2018 12:10,5.2,-4.33,-11.82,-9.88,-0.81
9/17/2018 12:10,5.25,-4.11,-12.02,-10.17,-0.85
9/17/2018 12:10,5.3,-3.83,-12,-10.35,-0.81
9/17/2018 12:10,5.35,-3.47,-12.11,-10.42,-0.62
9/17/2018 12:10,5.4,-3.29,-11.97,-10.42,-0.58
9/17/2018 12:10,5.45,-3.35,-11.94,-10.36,-0.57
9/17/2018 12:10,5.5,-3.14,-12.02,-10.37,-0.29
9/17/2018 12:10,5.55,-3.07,-11.78,-10.15,-0.33
9/17/2018 12:10,5.6,-3.62,-11.86,-10.22,-0.58
9/17/2018 12:10,5.65,-4.22,-11.9,-10.32,-0.93
9/17/2018 12:10,5.7,-4.34,-12.2,-10.4,-0.66
9/17/2018 12:10,5.75,-4.23,-11.92,-10.43,-0.6
9/17/2018 12:10,5.8,-4.47,-12.14,-10.56,-0.78
9/17/2018 12:10,5.85,-4.41,-11.57,-10.33,-0.33
9/17/2018 12:10,5.9,-4.17,-11.93,-10.72,-0.46
