Run #1,Run #1,Run #1,Run #1,Run #1,Run #1
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N)
8/11/2018 14:26,4.65,-27.85,-56.84,-12.41,50.84
8/11/2018 14:26,4.7,-27.88,-56.78,-12.64,50.77
8/11/2018 14:26,4.75,-27.82,-57.14,-12.63,50.68
8/11/2018 14:26,4.8,-28.15,-57.08,-12.69,50.49
8/11/2018 14:26,4.85,-28.23,-56.9,-12.75,50.38
8/11/2018 14:26,4.9,-28.01,-56.92,-12.68,50.45
8/11/2018 14:26,4.95,-27.89,-56.17,-12.35,50.92
8/11/2018 14:26,5,-27.99,-56.23,-12.31,50.8
8/11/2018 14:26,5.05,-28.04,-57.04,-12.36,50.55
8/11/2018 14:26,5.1,-28.07,-57.15,-12.41,50.52
8/11/2018 14:26,5.15,-27.51,-51.32,-12.93,51.51
8/11/2018 14:26,5.2,-26.7,-43.31,-13.81,51.85
8/11/2018 14:26,5.25,-25.4,-28.91,-13.49,53.43
8/11/2018 14:26,5.3,-9.63,-53.21,41.33,76.37
8/11/2018 14:26,5.35,-2.54,-32.88,32.78,100
8/11/2018 14:26,5.4,32.51,-4.47,48.81,100
8/11/2018 14:26,5.45,15.51,-10.73,87.35,100
8/11/2018 14:26,5.5,23.81,0.76,53.01,100
8/11/2018 14:26,5.55,27.5,6.22,60.66,100
8/11/2018 14:26,5.6,19.05,-7.94,63.1,100
8/11/2018 14:26,5.65,19.04,-18.92,59.21,100
8/11/2018 14:26,5.7,-4.94,-38.91,62.18,100
8/11/2018 14:26,5.75,-22.07,-51.07,51.05,100
8/11/2018 14:26,5.8,-28.4,-53.5,38.55,99.16
8/11/2018 14:26,5.85,-28.49,-53.6,16.63,88.23
8/11/2018 14:26,5.9,-27.67,-55.11,0.45,63.17
8/11/2018 14:26,5.95,-27.42,-55.4,-12.03,59.24
8/11/2018 14:26,6,-27.29,-56.65,-13.76,50.79
8/11/2018 14:26,6.05,-27.08,-57.04,-14.24,50.41
8/11/2018 14:26,6.1,-27.2,-56.69,-13.53,50.03
8/11/2018 14:26,6.15,-27.64,-56.79,-13.23,50.07
8/11/2018 14:26,6.2,-27.8,-56.6,-12.97,50.24
8/11/2018 14:26,6.25,-27.75,-56.39,-12.54,50.49
8/11/2018 14:26,6.3,-27.81,-56.24,-12.43,50.39
8/11/2018 14:26,6.35,-28.36,-56.58,-12.87,50.05
8/11/2018 14:26,6.4,-28.49,-56.37,-12.63,50.13
8/11/2018 14:26,6.45,-28.35,-55.9,-12.37,50.18
8/11/2018 14:26,6.5,-28.27,-56.13,-12.35,50.11
8/11/2018 14:26,6.55,-28.26,-56.47,-12.39,50.03
8/11/2018 14:26,6.6,-28.24,-56.15,-12.31,50.13
8/11/2018 14:26,6.65,-27.12,-51.65,-12.1,51.39
8/11/2018 14:26,6.7,-27.8,-50.12,-12.7,50.82
8/11/2018 14:26,6.75,-27.4,-43.63,-13.17,50.74
8/11/2018 14:26,6.8,-26.88,-41.18,-12.98,51.01
8/11/2018 14:26,6.85,-26.62,-38.17,-12.99,51.32
8/11/2018 14:26,6.9,-24.66,-48.67,9.5,52.87
8/11/2018 14:26,6.95,-26.05,-48.66,-2.22,85.34
8/11/2018 14:26,7,-24.82,-37.12,29.22,66.41
8/11/2018 14:26,7.05,-21.05,-13.21,57.2,58.08
8/11/2018 14:26,7.1,-6.93,-5.27,65.14,59.18
8/11/2018 14:26,7.15,-17.51,16.21,68.54,89.52
8/11/2018 14:26,7.2,-17.32,-2.4,82.29,100
8/11/2018 14:26,7.25,26.17,10.03,98.03,63.36
8/11/2018 14:26,7.3,25.48,23.62,100,62.53
8/11/2018 14:26,7.35,14.8,29.06,100,89.88
8/11/2018 14:26,7.4,19.51,27.26,100,67.16
8/11/2018 14:26,7.45,-7.69,16.77,100,70.9
8/11/2018 14:26,7.5,-21.86,-19.82,81.06,100
8/11/2018 14:26,7.55,-28.41,-49.72,36.12,100
8/11/2018 14:26,7.6,-29.07,-52.92,-3.67,100
8/11/2018 14:26,7.65,-27.59,-55.94,-11.24,74.46
8/11/2018 14:26,7.7,-26.34,-55.65,-12.53,61.51
8/11/2018 14:26,7.75,-26.3,-56.53,-12.75,55.93
8/11/2018 14:26,7.8,-27.1,-56.98,-13.4,50.39
8/11/2018 14:26,7.85,-27.71,-56.66,-13.05,50.04
8/11/2018 14:26,7.9,-27.77,-56.5,-12.84,49.96
8/11/2018 14:26,7.95,-27.8,-56.52,-12.52,49.92
8/11/2018 14:26,8,-28.08,-56.61,-12.43,49.71
8/11/2018 14:26,8.05,-28.27,-56.74,-12.32,49.65
8/11/2018 14:26,8.1,-27.84,-56.04,-11.96,50.09
8/11/2018 14:26,8.15,-27.85,-56.07,-12.09,49.84
8/11/2018 14:26,8.2,-28.31,-57.04,-12.21,49.35
8/11/2018 14:26,8.25,-28.32,-56.64,-11.98,49.4
8/11/2018 14:26,8.3,-28.07,-56.09,-11.58,49.71
8/11/2018 14:26,8.35,-28.07,-56.11,-11.64,49.89
8/11/2018 14:26,8.4,-27.96,-42.6,-11.82,52.92
8/11/2018 14:26,8.45,-26.91,-46.39,-13.08,50.4
8/11/2018 14:26,8.5,-26.85,-43.32,-12.69,49.89
8/11/2018 14:26,8.55,-27.04,-40.51,-12.76,50.75
8/11/2018 14:26,8.6,-13.79,-43.81,-9.67,48.37
8/11/2018 14:26,8.65,-15.55,-37.25,-9.88,48.39
8/11/2018 14:26,8.7,-17,-52.16,-4.01,100
8/11/2018 14:26,8.75,-16.82,-52.84,41,75.06
8/11/2018 14:26,8.8,19.5,-49.46,-0.45,100
8/11/2018 14:26,8.85,13.91,-47.48,5.38,100
8/11/2018 14:26,8.9,-2.64,-48.5,30.68,100
8/11/2018 14:26,8.95,7.28,-48.26,17.18,100
8/11/2018 14:26,9,20.85,-46.25,25.25,100
8/11/2018 14:26,9.05,30.98,-44.61,25.85,100
8/11/2018 14:26,9.1,35.96,-40.1,33.17,100
8/11/2018 14:26,9.15,29.49,-40.03,40.21,100
8/11/2018 14:26,9.2,13.75,-43.1,45.47,100
8/11/2018 14:26,9.25,-11.45,-44.71,54.42,100
8/11/2018 14:26,9.3,-28.68,-48.51,48.94,100
8/11/2018 14:26,9.35,-28.95,-50.79,6.53,100
8/11/2018 14:26,9.4,-28.46,-53.93,-6.68,100
8/11/2018 14:26,9.45,-27.37,-54.61,-12.38,65.26
8/11/2018 14:26,9.5,-26.82,-55.76,-13.52,51.51
8/11/2018 14:26,9.55,-27.37,-55.95,-13.5,49.67
8/11/2018 14:26,9.6,-27.88,-55.67,-13.14,49.18
8/11/2018 14:26,9.65,-28.19,-55.39,-12.7,49.23
8/11/2018 14:26,9.7,-28.2,-55.49,-12.31,49.11
8/11/2018 14:26,9.75,-28.54,-55.7,-12.07,49
8/11/2018 14:26,9.8,-28.35,-55.58,-11.69,49.28
8/11/2018 14:26,9.85,-28.14,-55.44,-11.44,49.29
8/11/2018 14:26,9.9,-28.37,-55.97,-11.49,48.92
8/11/2018 14:26,9.95,-26.67,-40.67,-11.24,49.29
8/11/2018 14:26,10,-27.59,-47.42,-12.43,49.72
8/11/2018 14:26,10.05,-28,-45.74,-12.52,49.93
8/11/2018 14:26,10.1,-27.04,-37.88,-12.83,50.2
8/11/2018 14:26,10.15,-26.79,-40,-15.26,52.27
8/11/2018 14:26,10.2,-26.17,-36.69,-13.79,50.58
8/11/2018 14:26,10.25,-23.66,-41.03,0.53,52.14
8/11/2018 14:26,10.3,-25.43,-35.15,21.28,53.44
8/11/2018 14:26,10.35,-23.59,-20.86,13.33,52.8
8/11/2018 14:26,10.4,-24.03,-44.02,41.19,97.37
8/11/2018 14:26,10.45,-24.23,-39.32,62.91,91.89
8/11/2018 14:26,10.5,-21.6,-6.24,71.04,59.5
8/11/2018 14:26,10.55,-18.65,-0.25,98.98,62.02
8/11/2018 14:26,10.6,-18.26,-0.57,100,71.24
8/11/2018 14:26,10.65,-16.37,0.12,100,81.14
8/11/2018 14:26,10.7,-15.65,13.13,100,65.96
8/11/2018 14:26,10.75,-13.85,29.93,100,68.15
8/11/2018 14:26,10.8,-11.63,39.2,100,70.81
8/11/2018 14:26,10.85,-9.9,37.14,100,71.74
8/11/2018 14:26,10.9,-11.69,13.29,100,99.67
8/11/2018 14:26,10.95,-17.59,-6.46,100,89.89
8/11/2018 14:26,11,-20.56,-21.7,100,87.18
8/11/2018 14:26,11.05,-24.92,-53.33,78.25,85.82
8/11/2018 14:26,11.1,-26.46,-56.24,46.22,58.38
8/11/2018 14:26,11.15,-27.49,-56.54,6.17,50.9
8/11/2018 14:26,11.2,-28.2,-56.09,-8.69,49.3
8/11/2018 14:26,11.25,-28.39,-55.72,-11.68,48.55
8/11/2018 14:26,11.3,-28.02,-55.39,-11.56,48.55
8/11/2018 14:26,11.35,-28.1,-55.62,-11.31,48.5
8/11/2018 14:26,11.4,-28.51,-56.01,-11.06,48.33
8/11/2018 14:26,11.45,-28.77,-56.1,-10.92,48.41
8/11/2018 14:26,11.5,-28.71,-55.84,-10.77,48.6
8/11/2018 14:26,11.55,-28.57,-55.81,-10.73,48.71
8/11/2018 14:26,11.6,-28.43,-55.89,-10.75,48.75
8/11/2018 14:26,11.65,-28.49,-56.1,-10.82,48.59
8/11/2018 14:26,11.7,-27.37,-47.72,-12.11,49.85
8/11/2018 14:26,11.75,-28.1,-55.43,-11.54,48.37
8/11/2018 14:26,11.8,-29.03,-55.82,-11.93,48.16
8/11/2018 14:26,11.85,-28.67,-55.51,-11.24,48.64
8/11/2018 14:26,11.9,-28.22,-55.17,-10.67,49.06
8/11/2018 14:26,11.95,-24.55,-43.36,16.4,54.32
8/11/2018 14:26,12,-26.92,-54.31,15.51,50.72
8/11/2018 14:26,12.05,-26.66,-34.69,-0.88,50.88
8/11/2018 14:26,12.1,-24.88,-42.48,30.08,55.77
8/11/2018 14:26,12.15,-24.52,-43.4,49.59,56.51
8/11/2018 14:26,12.2,-24.71,-34.02,42.03,53.91
8/11/2018 14:26,12.25,-22.9,-23.66,53.19,56.08
8/11/2018 14:26,12.3,-20.78,-10.42,63.57,58.37
8/11/2018 14:26,12.35,-19.23,-2.75,80.21,69.87
8/11/2018 14:26,12.4,-19.46,-9.48,74.61,100
8/11/2018 14:26,12.45,-16.06,18.24,100,67.11
8/11/2018 14:26,12.5,-16.19,27.66,100,67.63
8/11/2018 14:26,12.55,-19.01,5.02,85.39,100
8/11/2018 14:26,12.6,-19.57,4.66,94.9,97.35
8/11/2018 14:26,12.65,-23.16,-15.07,75.1,100
8/11/2018 14:26,12.7,-27.65,-53.47,46.07,100
8/11/2018 14:26,12.75,-27.81,-55.8,20.11,76.11
8/11/2018 14:26,12.8,-28.32,-55.61,-3.39,62.75
8/11/2018 14:26,12.85,-28.25,-55.11,-10.62,50.66
8/11/2018 14:26,12.9,-27.92,-54.95,-12.02,50.85
8/11/2018 14:26,12.95,-27.88,-55.61,-12.01,49.1
8/11/2018 14:26,13,-28.13,-55.68,-11.8,48.48
8/11/2018 14:26,13.05,-29,-55.81,-12.93,48.64
8/11/2018 14:26,13.1,-28.84,-55.38,-11.73,48.74
8/11/2018 14:26,13.15,-28.86,-56.04,-11.93,48.61
8/11/2018 14:26,13.2,-28.28,-55.42,-11.48,48.82
8/11/2018 14:26,13.25,-28.21,-55.21,-11.38,48.82
8/11/2018 14:26,13.3,-28.62,-55.44,-11.48,48.67
8/11/2018 14:26,13.35,-28.71,-55.33,-11.57,48.89
8/11/2018 14:26,13.4,-28.55,-55.41,-11.6,48.97
8/11/2018 14:26,13.45,-28.52,-55.48,-11.3,49.02
8/11/2018 14:26,13.5,-28.67,-55.75,-11.21,48.94
8/11/2018 14:26,13.55,-28.7,-55.78,-11.06,49.06
8/11/2018 14:26,13.6,-24.4,-54.46,16.7,50.14
8/11/2018 14:26,13.65,-27.25,-54.44,6.35,49.91
8/11/2018 14:26,13.7,-26.56,-44.04,-1.84,65.17
8/11/2018 14:26,13.75,-24.23,-31.63,26.33,53.85
8/11/2018 14:26,13.8,-14.78,-15.1,32.32,55.52
8/11/2018 14:26,13.85,-13.69,-1.44,51.22,57.17
8/11/2018 14:26,13.9,-16.99,21.41,56.62,66.71
8/11/2018 14:26,13.95,-16.1,25.26,63.29,86.49
8/11/2018 14:26,14,-5.75,23.44,59.5,62.69
8/11/2018 14:26,14.05,-20,9.56,48.93,60.41
8/11/2018 14:26,14.1,-21.16,-20.38,35.19,66.23
8/11/2018 14:26,14.15,-23.48,-35.83,26.08,55.72
8/11/2018 14:26,14.2,-25.39,-42.97,7.45,51.92
8/11/2018 14:26,14.25,-13.52,-51.46,-3.82,49.98
8/11/2018 14:26,14.3,-19.62,-47.59,-4.3,48.66
8/11/2018 14:26,14.35,-26.18,-46.93,-4.15,49.17
8/11/2018 14:26,14.4,-24.6,-48.9,-4.66,49.2
8/11/2018 14:26,14.45,-25.44,-47.67,-4.1,49.18
8/11/2018 14:26,14.5,-24.55,-48.72,-4.29,49.2
8/11/2018 14:26,14.55,-25.53,-47.91,-4.5,49.19
8/11/2018 14:26,14.6,-24.28,-48.36,-5,49.13
8/11/2018 14:26,14.65,-25.37,-47.54,-4.6,49.13
8/11/2018 14:26,14.7,-24.46,-48.22,-5.03,49.21
8/11/2018 14:26,14.75,-25.46,-47.74,-4.53,49.16
8/11/2018 14:26,14.8,-24.62,-48.6,-4.5,49.18
8/11/2018 14:26,14.85,-25.34,-47.77,-4.27,49.18
8/11/2018 14:26,14.9,-24.64,-48.34,-4.72,49.17
8/11/2018 14:26,14.95,-25.22,-47.86,-4.69,49.13
8/11/2018 14:26,15,-24.51,-48.19,-4.85,49.14
8/11/2018 14:26,15.05,-25.23,-47.71,-4.64,49.16
8/11/2018 14:26,15.1,-24.58,-48.3,-4.77,49.15
8/11/2018 14:26,15.15,-25.3,-47.85,-4.42,49.14
8/11/2018 14:26,15.2,-24.64,-48.37,-4.55,49.15
8/11/2018 14:26,15.25,-25.22,-47.79,-4.45,49.14
8/11/2018 14:26,15.3,-24.66,-48.22,-4.74,49.14
8/11/2018 14:26,15.35,-25.15,-47.84,-4.61,49.13
8/11/2018 14:26,15.4,-24.63,-48.14,-4.74,49.17
8/11/2018 14:26,15.45,-25.17,-47.83,-4.49,49.15
8/11/2018 14:26,15.5,-24.69,-48.23,-4.67,49.14
8/11/2018 14:26,15.55,-25.19,-47.89,-4.45,49.14
8/11/2018 14:26,15.6,-24.7,-48.23,-4.63,49.14
8/11/2018 14:26,15.65,-25.13,-47.84,-4.53,49.14
8/11/2018 14:26,15.7,-24.73,-48.17,-4.71,49.15
8/11/2018 14:26,15.75,-25.1,-47.85,-4.59,49.16
8/11/2018 14:26,15.8,-24.73,-48.11,-4.7,49.18
8/11/2018 14:26,15.85,-25.11,-47.9,-4.53,49.16
8/11/2018 14:26,15.9,-24.75,-48.18,-4.63,49.19
8/11/2018 14:26,15.95,-25.12,-47.93,-4.5,49.16
8/11/2018 14:26,16,-24.78,-48.18,-4.56,49.14
8/11/2018 14:26,16.05,-25.57,-48.41,-3.1,49.27
8/11/2018 14:26,16.1,-26.17,-48.2,-3.27,49.31
8/11/2018 14:26,16.15,-23.74,-48.49,-4.91,49.1
